article,collection,quantite
51199044,19E,179
52199001,19E,497
52199002,19E,621
52199005,19E,381
52199006,19E,607
52199007,19E,752
52199008,19E,337
52199009,19E,372
52199011,19E,783
52199012,19E,244
52199013,19E,595
52199014,19E,378
52199015,19E,622
52199016,19E,277
52199017,19E,712
52199018,19E,1376
52199020,19E,497
52199021,19E,405
52199023,19E,421
52199024,19E,754
52199025,19E,544
52199026,19E,636
52199027,19E,556
52199028,19E,309
52199029,19E,550
52199030,19E,494
52199031,19E,866
52199032,19E,495
52199033,19E,310
52199034,19E,495
52199035,19E,528
52199036,19E,597
52199037,19E,471
52199038,19E,439
52199039,19E,509
52199040,19E,359
52199041,19E,377
52199042,19E,310
52199043,19E,325
52199044,19E,491
52199045,19E,18
52199045,20H,421
52199046,19E,846
52199048,19E,246
52199049,19E,693
52199050,19E,1239
52199051,19E,813
52199052,19E,475
52199053,19E,580
52199054,19E,556
52199055,19E,350
52199056,19E,450
52199057,19E,970
52199059,19E,432
52199060,19E,684
52199061,19E,248
52199062,19E,657
52199066,19E,331
52199068,19E,756
52199069,19E,292
52199070,19E,120
52199071,19E,237
52199072,19E,330
52199074,19E,247
52199206,19E,179
52199212,19E,239
52199214,19E,179
52199227,19E,290
52199235,19E,380
52199248,19E,333
52199256,19E,294
52199257,19E,591
52199259,19E,297
52199260,19E,641
52199269,19E,320
52199271,19E,373
52199327,19E,278
52199353,19E,404
52199359,19E,258
52209001,20E,495
52209002,20E,250
52209003,20E,253
52209004,20E,313
52209005,20E,505
52209006,20E,1076
52209007,20E,342
52209008,20E,208
52209009,20E,251
52209011,20E,558
52209012,20E,504
52209013,20E,407
52209014,20E,501
52209015,20E,306
52209016,20E,485
52209017,20E,277
52209018,20E,232
52209019,20E,251
52209021,20E,281
52209022,20E,245
52209023,20E,928
52209024,20E,394
52209025,20E,569
52209026,20E,283
52209027,20E,450
52209028,20E,503
52209029,20E,448
52209030,20E,505
52209031,20E,403
52209032,20E,267
52209033,20E,220
52209034,20E,252
52209035,20E,251
52209036,20E,252
52209037,20E,252
52209038,20E,141
52209039,20E,270
52209040,20E,237
52209044,20E,495
52209045,20E,224
52209047,20E,506
52209048,20E,308
52209049,20E,286
52209050,20E,388
52209051,20E,248
52209052,20E,533
52209053,20E,241
52209054,20E,232
52209055,21E,252
52209058,20E,260
52209059,21H,259
52209060,20E,260
52209062,20E,195
52209064,20E,512
52209065,20E,376
52209066,20E,281
52209068,20E,448
52209069,20E,252
52209070,20E,358
52209071,20E,228
52209072,21E,164
52209073,20E,186
52209074,20E,203
52209076,20E,258
52209078,20E,402
52209079,20E,226
52209080,20E,59
52209080,21H,140
52209081,20E,460
52209082,20E,241
52209084,20E,498
52209085,20E,485
52209086,21H,184
52209087,20E,168
52209088,20E,247
52209089,20E,256
52209090,20E,254
52209091,20E,459
52209217,20E,280
52209219,20E,253
52209252,20E,250
52209273,20E,116
52209274,20E,214
52209276,20E,246
52209282,20E,343
52219001,21E,449
52219002,21E,521
52219004,21E,523
52219005,21E,532
52219006,21E,906
52219007,21E,253
52219008,21E,250
52219009,21E,468
52219010,21E,254
52219011,21E,499
52219012,21E,285
52219013,21E,230
52219014,21E,136
52219015,21E,252
52219016,21E,195
52219017,21E,508
52219018,21E,279
52219019,21E,245
52219021,21E,216
52219022,21E,252
52219023,21E,243
52219024,21E,253
52219025,21E,490
52219026,21E,488
52219027,21E,421
52219028,21E,219
52219029,21E,372
52219030,21E,487
52219031,21E,251
52219032,21E,241
52219034,21E,482
52219035,21E,478
52219036,21E,244
52219037,21E,349
52219038,21E,379
52219039,21E,930
52219040,21E,355
52219041,21E,233
52219042,21E,514
52219043,21E,190
52219044,21E,249
52219045,21E,247
52219046,21E,230
52219047,21E,757
52219048,21E,509
52219049,21E,498
52219050,21E,276
52219052,21E,398
52219054,21E,242
52219055,21E,249
52219056,21E,254
52219057,21E,248
52219058,21E,248
52219059,21E,248
52219061,21E,250
52219062,21E,352
52219065,21E,252
52219066,21E,247
52219067,21E,412
52219068,21E,253
52219070,21E,225
52219071,21E,240
52219072,21E,252
52219073,21E,254
52219074,21E,252
52219076,21E,249
52219077,21E,148
52219078,21E,467
52219079,21E,400
52219206,21E,238
52219229,21E,279
52219247,21E,501
52219256,21E,248
52219257,21E,188
52219261,21E,247
52219265,21E,631
52219268,21E,253
52219277,21E,250
52219279,21E,207
52219306,21E,236
52219406,21E,109
52219506,21E,189
52229001,22E,251
52229002,22E,412
52229003,22E,489
52229006,22E,226
52229007,22E,474
52229008,22E,221
52229009,22E,251
52229010,22E,244
52229011,22E,233
52229012,22E,245
52229013,22E,220
52229014,22E,393
52229015,22E,243
52229016,22E,245
52229017,22E,315
52229018,22E,241
52229019,22E,257
52229020,22E,239
52229021,22E,243
52229023,22E,252
52229024,22E,475
52229025,22E,243
52229026,22E,218
52229027,22E,819
52229028,22E,475
52229029,22E,220
52229032,22E,239
52229033,22E,175
52229034,22E,249
52229035,22E,223
52229036,22E,217
52229037,22E,221
52229038,22E,243
52229039,22E,243
52229040,22E,246
52229041,22E,376
52229043,22E,236
52229044,22E,716
52229045,22E,247
52229046,22E,192
52229048,22E,493
52229050,22E,161
52229051,22E,867
52229052,22E,249
52229053,22E,242
52229055,22E,410
52229057,22E,248
52229058,22E,454
52229059,22E,244
52229060,22E,501
52229061,22E,354
52229062,22E,444
52229063,22E,181
52229064,22E,815
52229065,22E,227
52229066,22E,243
52229067,22E,250
52229068,22E,761
52229069,22E,243
52229070,22E,219
52229071,22E,172
52229072,22E,1047
52229074,22E,246
52229075,22E,380
52229077,22E,230
52229080,22E,247
52229083,22E,452
52229092,22E,228
52229093,22E,401
52229094,22E,170
52229095,22E,163
52229097,22E,403
52229098,22E,386
52229099,22E,92
52229099,23H,314
52229101,22E,358
52229102,22E,353
52229103,22E,265
52229104,22E,249
52229106,22E,237
52229107,22E,250
52229108,22E,245
52229109,22E,252
52229207,22E,546
52229213,22E,701
52229220,22E,218
52229227,22E,318
52229228,22E,250
52229230,22E,320
52229240,22E,247
52229244,22E,355
52229248,22E,358
52229250,22E,223
52229252,22E,244
52229260,22E,269
52229261,22E,225
52229272,22E,224
52229275,22E,730
52229277,22E,168
52229294,22E,307
52229295,22E,33
52229298,22E,159
52229327,22E,237
52229377,22E,136
52229395,22E,42
52229477,22E,261
52239001,23E,291
52239002,23E,203
52239003,23E,287
52239004,23E,276
52239005,23E,202
52239006,23E,292
52239007,23E,235
52239009,23E,262
52239010,24H,280
52239011,23E,267
52239014,23E,427
52239015,23E,324
52239016,23E,228
52239017,23E,186
52239018,23E,494
52239019,23E,324
52239020,23E,786
52239021,23E,456
52239023,23E,378
52239024,23E,289
52239028,23E,225
52239030,23E,325
52239031,23E,226
52239035,23E,296
52239036,23E,285
52239037,23E,291
52239038,23E,212
52239039,23E,286
52239040,23E,280
52239041,23E,413
52239044,23E,413
52239047,23E,373
52239048,23E,225
52239050,23E,317
52239053,23E,605
52239054,23E,655
52239056,23E,251
52239057,23E,724
52239058,23E,253
52239059,23E,273
52239060,23E,321
52239061,23E,237
52239062,23E,257
52239063,23E,723
52239064,23E,300
52239065,23E,333
52239066,23E,285
52239067,23E,118
52239068,23E,351
52239069,23E,1058
52239070,23E,280
52239071,23E,152
52239072,23E,294
52239075,23E,115
52239076,23E,357
52239077,23E,260
52239078,23E,261
52239080,23E,204
52239081,23E,370
52239089,23E,397
52239090,23E,183
52239091,23E,147
52239092,23E,369
52239093,23E,483
52239094,23E,107
52239095,23E,175
52239096,23E,177
52239097,23E,192
52239098,23E,288
52239099,23E,113
52239100,23E,149
52239101,23E,652
52239102,23E,1034
52239204,23E,283
52239214,23E,280
52239219,23E,469
52239229,23E,258
52239247,23E,62
52239265,23E,361
52239281,23E,164
52239293,24H,170
52239295,23E,134
52239297,24E,6
52239297,24H,795
52239298,23E,604
52239381,23E,210
52239398,24H,276
52249001,24E,989
52249009,24E,117
52249010,24E,528
52249013,24E,65
52249014,24E,601
52249017,24E,244
52249018,24E,103
52249019,24E,160
52249020,24E,86
52249021,24E,233
52249022,24E,211
52249024,24E,374
52249026,24E,372
52249027,24E,231
52249028,24E,264
52249029,24E,347
52249030,24E,298
52249031,24E,645
52249033,24E,108
52249034,24E,257
52249036,24E,336
52249037,24E,236
52249038,24E,320
52249039,24E,216
52249041,24E,253
52249042,24E,202
52249043,24E,161
52249044,24E,233
52249045,24E,282
52249046,24E,248
52249048,24E,289
52249049,24E,129
52249050,24E,510
52249051,24E,283
52249052,24E,226
52249055,24E,320
52249056,24E,152
52249058,24E,277
52249060,24E,316
52249061,24E,367
52249062,24E,342
52249063,24E,243
52249065,24E,202
52249068,24E,335
52249069,24E,294
52249070,24E,203
52249071,24E,120
52249072,24E,394
52249073,24E,272
52249075,24E,501
52249209,24E,76
52249217,24E,188
52249218,24E,72
52249219,24E,84
52249220,24E,208
52249234,24E,452
52249237,24E,136
52249249,24E,164
52249256,24E,330
52249258,24E,163
52249263,24E,136
52249318,24E,125
52249319,24E,162
52249419,24E,182
53199001,19E,403
53199002,19E,524
53199202,21E,389
53209001,20E,513
53219001,21E,248
53219002,21E,248
53219003,21E,240
53229001,22E,440
53229002,22E,231
53229004,22E,141
59219001,21E,1
59219003,21E,135
59219004,21E,200
59219203,21E,200
59229001,22E,185
59229002,22E,340
59229003,22E,471
59229004,22E,196
59229005,22E,232
82199001,19H,306
82199002,19H,292
82199003,19H,297
82199004,19H,610
82199005,19H,349
82199006,19H,517
82199007,19H,401
82199009,19H,1496
82199009,20H,6
82199010,19H,350
82199011,19H,354
82199012,19H,300
82199013,19H,295
82199014,20H,516
82199015,19H,349
82199016,19H,404
82199017,19H,348
82199018,19H,360
82199020,19H,615
82199023,19H,293
82199024,19H,420
82199026,19H,570
82199027,19H,517
82199028,19H,562
82199030,19H,484
82199031,19H,349
82199032,19H,313
82199033,19H,1003
82199034,19H,313
82199035,19H,512
82199036,19H,480
82199037,19H,448
82199038,19H,480
82199039,19H,494
82199040,19H,305
82199041,19H,455
82199042,19H,300
82199043,19H,581
82199043,20H,416
82199044,19H,399
82199051,19E,388
82199051,19H,5
82199052,19H,300
82199054,19H,396
82199055,19H,225
82199057,19H,340
82199058,19H,486
82199060,19H,380
82199061,19H,616
82199062,19H,341
82199063,19H,199
82199066,19H,480
82199067,19H,540
82199068,19H,312
82199069,19H,304
82199070,19H,566
82199071,19H,478
82199072,19H,245
82199073,19H,313
82199076,19H,853
82199078,20H,196
82199079,20H,541
82199080,19H,399
82199081,19E,315
82199082,19H,149
82199086,19H,399
82199090,19H,164
82199093,19H,74
82199094,19H,103
82199095,19H,613
82199096,19H,399
82199097,19H,420
82199098,19H,616
82199099,19E,461
82199100,19E,226
82199100,19H,99
82199101,19E,115
82199101,19H,210
82199102,19H,397
82199103,19H,247
82209001,20H,300
82209002,20H,322
82209003,20H,504
82209004,20H,413
82209005,20H,326
82209006,20H,379
82209007,20H,452
82209008,20H,312
82209009,20H,589
82209010,20H,312
82209011,20H,442
82209012,20H,420
82209014,20H,400
82209015,20H,561
82209016,20H,414
82209017,20H,302
82209018,20H,402
82209019,20H,504
82209020,20H,393
82209021,20H,349
82209022,20H,361
82209023,20H,124
82209024,20H,389
82209025,20H,333
82209026,20H,312
82209027,20H,112
82209028,20H,724
82209029,20H,736
82209030,20H,368
82209031,20H,152
82209032,20H,320
82209033,20H,404
82209034,20H,101
82209035,20H,259
82209036,20H,338
82209037,20H,295
82209038,20H,307
82209040,20H,249
82209041,20H,315
82209042,20H,154
82209043,20H,309
82209044,20H,210
82209045,20H,229
82209047,20H,472
82209048,20H,335
82209049,20H,219
82209050,20H,171
82209204,20H,824
82209207,20H,270
82209223,20H,127
82209231,20H,126
82209234,20H,152
82209242,20H,112
82219001,21H,232
82219002,21H,236
82219003,21H,234
82219004,21H,230
82219007,21H,446
82219008,21H,300
82219009,21H,237
82219010,21H,235
82219011,21H,173
82219012,21H,360
82219013,21H,360
82219014,21H,234
82219015,21H,213
82219016,21H,501
82219017,21H,234
82219019,21H,179
82219020,21H,445
82219021,21H,231
82219022,21H,231
82219024,21H,228
82219025,21H,137
82219026,21H,269
82219027,21H,468
82219029,21H,154
82219030,21H,236
82219031,21H,0
82219032,21H,235
82219034,21H,515
82219035,21H,151
82219037,21H,244
82219039,21H,423
82219040,21H,250
82219041,21H,221
82219042,21H,142
82219043,21H,249
82219044,21H,379
82219045,21H,255
82219047,21H,100
82219048,21H,182
82219050,21H,497
82219051,21H,233
82219052,21H,247
82219053,21H,252
82219054,21H,325
82219055,21H,328
82219056,21H,260
82219057,21H,236
82219058,21H,360
82219059,21H,85
82219060,21H,183
82219061,21H,203
82219062,21H,234
82219063,21H,453
82219064,21H,159
82219065,21H,396
82219202,21H,213
82219214,21H,261
82219215,21H,218
82219227,21H,233
82219229,21H,154
82219235,21H,166
82219259,21H,258
82219329,21H,151
82229001,22H,666
82229004,22H,524
82229005,22H,206
82229007,22H,240
82229008,22H,515
82229009,22H,150
82229010,22H,244
82229011,22H,245
82229012,22H,245
82229014,22H,189
82229015,22H,246
82229016,22H,232
82229017,22H,260
82229018,22H,225
82229019,22H,249
82229020,22H,250
82229021,22H,247
82229022,22H,233
82229023,22H,197
82229024,22H,250
82229025,22H,217
82229026,22H,395
82229027,22H,245
82229028,22H,252
82229029,22H,476
82229030,22H,455
82229031,22H,275
82229032,22H,301
82229033,22H,251
82229034,22H,462
82229035,22H,503
82229036,22H,66
82229037,22H,221
82229038,22H,484
82229039,22H,209
82229040,22H,237
82229041,22H,250
82229042,22H,211
82229043,22H,215
82229044,22H,275
82229045,22H,230
82229046,22H,248
82229047,22H,482
82229048,22H,208
82229049,22H,290
82229050,22H,175
82229051,22H,250
82229052,22H,239
82229053,22H,197
82229054,22H,250
82229055,22H,343
82229056,22H,221
82229057,22H,252
82229058,22H,223
82229060,22H,848
82229061,22H,511
82229062,22H,250
82229063,22H,225
82229064,22H,447
82229065,22H,505
82229066,22H,129
82229069,22H,353
82229070,22H,152
82229071,22H,241
82229073,22H,251
82229074,22H,246
82229075,22H,319
82229077,22H,131
82229078,22H,251
82229080,22H,238
82229081,22H,188
82229082,22H,233
82229083,22H,240
82229084,22H,55
82229085,22H,230
82229086,22H,389
82229087,22H,246
82229088,22H,414
82229088,23H,1
82229089,22E,112
82229090,23H,228
82229091,22E,232
82229092,22E,363
82229093,22E,272
82229201,22H,498
82229205,22H,251
82229209,22H,152
82229211,22H,268
82229220,22H,340
82229229,22H,446
82229232,22H,228
82229233,22H,218
82229248,22H,251
82229251,22H,276
82229274,22H,117
82229305,22H,205
82229320,22H,245
82239001,23H,460
82239002,23H,356
82239003,23H,557
82239004,23H,500
82239005,23H,498
82239006,23H,452
82239007,23H,551
82239008,23H,480
82239009,23H,642
82239011,23H,127
82239012,23H,370
82239013,23H,512
82239014,23H,387
82239015,23H,440
82239016,23H,265
82239017,23H,420
82239019,23H,523
82239020,23H,584
82239021,23H,633
82239022,23H,113
82239023,23H,411
82239025,23H,420
82239026,23H,601
82239029,23H,413
82239030,23H,495
82239031,23H,290
82239032,23H,438
82239033,23H,198
82239035,23E,564
82239036,23H,273
82239038,23H,574
82239039,23H,593
82239040,23H,607
82239041,23H,190
82239043,23H,128
82239044,23H,322
82239045,23H,571
82239046,23H,511
82239047,23H,296
82239048,23H,562
82239049,23H,622
82239050,23H,268
82239051,23H,275
82239052,23H,643
82239054,24H,257
82239055,23H,200
82239056,23H,451
82239059,23H,566
82239060,23H,115
82239061,23H,296
82239062,23H,505
82239063,23H,247
82239064,23H,305
82239065,23H,511
82239066,23H,543
82239067,23H,183
82239069,23H,243
82239070,23H,565
82239071,23H,276
82239072,23H,324
82239073,23H,326
82239075,23H,590
82239076,23H,273
82239076,24H,73
82239077,23H,346
